condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,compute_time_s,r_max_mm
3,23,8,known,3,180.0,300.0,150.0,1842.4732760001384,128.24962422885847,1838.0042999568414,1790.3640569177742,104.25627949732063,1787.3259592162947,1.0,1.0,73.0,1474.3813305271533,171.03566146343022,169.34902098645782,0.037002878001658246,150000.0
3,24,8,known,3,180.0,300.0,150.0,861.5877088249921,126.87647081909675,852.1946615361951,697.6893847333884,71.46915292757548,694.019191196806,1.0,1.0,137.0,804.4827086217769,314.2522223764957,119.27613329356728,0.07956467700205394,150000.0
3,25,8,known,3,180.0,300.0,150.0,1696.6695984419052,159.0727400618013,1689.1961371155944,1251.3213673130708,114.21706140475392,1246.0977598801453,1.0,1.0,47.0,1688.6471392580684,149.47776988811046,108.21823754772018,0.016443987002276117,150000.0
3,26,8,known,3,180.0,300.0,150.0,1407.8488988957802,125.16149374786372,1402.2742679678838,671.2191072127655,109.76758589632821,662.1828803087514,1.0,1.0,116.0,1858.2890280182557,136.01517720321766,115.61793323348572,0.060016800998710096,150000.0
3,27,8,known,3,180.0,300.0,150.0,4264.444698583473,161.30470853945798,4261.392891799545,1130.2153943056937,94.41293408448315,1126.2650822089506,1.0,1.0,43.0,3474.46406000206,72.80140287174757,125.06957518549962,0.01842720099739381,150000.0
3,28,8,known,3,180.0,300.0,150.0,1206.181730614874,161.5417278916747,1195.3152878713067,570.6370992202844,142.24255733516583,552.62442389863,1.0,1.0,125.0,1687.5231174557805,149.2716495262839,143.75612210896415,0.07268636499793502,150000.0
3,29,8,known,3,180.0,300.0,150.0,3008.3445992628504,211.30979822174098,3000.9140935870605,2015.8547680159584,122.85581091608017,2012.1075755179756,1.0,1.0,160.0,2176.6064986742904,115.58048043644365,132.10054474048573,0.07304918600129895,150000.0
3,30,8,known,3,180.0,300.0,150.0,5972.964715387668,437.0995781958878,5956.949844509945,1972.5421150459897,148.52771278692592,1966.942275249681,1.0,1.0,86.0,2635.178850609217,95.76902385866732,159.2436379736044,0.03813663000255474,150000.0
3,31,8,known,3,180.0,300.0,150.0,4529.25047872816,257.45985428699345,4521.9270585105405,1823.9561492539203,113.85387911672707,1820.3992223167047,1.0,1.0,75.0,1918.002551637814,131.73552130832581,113.7124956772505,0.03619283299849485,150000.0
3,32,8,known,3,180.0,300.0,150.0,1548.9099825417768,89.83807811778159,1546.302445751694,1042.7609140367997,81.77782482280602,1039.5492827231003,1.0,1.0,67.0,752.9928595338376,334.7611715957506,149.6312372163373,0.02983456600122736,150000.0
3,33,8,known,3,180.0,300.0,150.0,2748.449584931267,118.64064085049512,2745.887747022343,1279.0472899859517,77.97938125377692,1276.6680015257236,1.0,1.0,38.0,2502.640282436287,101.01387416685974,119.0916238218033,0.013130144998285687,150000.0
3,34,8,known,3,180.0,300.0,150.0,1430.942469736686,142.8048588149457,1423.798835508363,706.5954439059965,133.52658518459643,693.864376083434,1.0,1.0,162.0,797.5864204386885,316.6121925585156,159.11076646077805,0.06652066199967521,150000.0
3,35,8,known,3,180.0,300.0,150.0,2128.544977553205,111.06493523967715,2125.64538473076,1400.512682748473,63.65553709001681,1399.0653119626354,1.0,1.0,36.0,895.456524440538,282.3238346825366,147.51100237056488,0.014321636001113802,150000.0
3,36,8,known,3,180.0,300.0,150.0,939.3496997736605,52.95945198912904,937.8556151721209,689.4414516040727,43.3896969518808,688.0747411352597,1.0,1.0,96.0,1202.271837129631,210.75189013850024,149.1175605925858,0.03720560299916542,150000.0
3,37,8,known,3,180.0,300.0,150.0,3950.943706088689,236.00095952157406,3943.8889076375767,1131.4755441108064,132.9084023941754,1123.642409084791,1.0,1.0,90.0,3302.1496299842884,76.19747769156076,163.4257087350192,0.04743157800112385,150000.0
3,38,8,known,3,180.0,300.0,150.0,905.5325834675566,160.42276577410078,891.2091763120571,560.2437406801453,140.5931127683183,542.315983180836,1.0,1.0,141.0,730.6864534750152,347.63926236646245,136.82814199370534,0.06684162499732338,150000.0
3,39,8,known,3,180.0,300.0,150.0,2366.283410563194,127.68645502762149,2362.8358699471833,1936.6655433932174,98.39467672060874,1934.1643969837705,1.0,1.0,33.0,1235.157805625412,203.33561136671935,123.81192451428173,0.015834543999517336,150000.0
3,40,8,known,3,180.0,300.0,150.0,1752.8896242307933,176.44750605713844,1743.9863280261652,1294.7187582550505,137.28092298178112,1287.4201377805034,1.0,1.0,30.0,1612.7372263146801,156.63009580687478,99.4868225368724,0.011505390000820626,150000.0
3,41,8,known,3,180.0,300.0,150.0,1987.8111422726706,155.4824507551791,1981.721056266634,1526.2604144288941,109.52632962257911,1522.3254697245482,1.0,1.0,67.0,1801.4946101509665,139.79715487903678,100.07883897928336,0.036242543003027095,150000.0
3,42,8,known,3,180.0,300.0,150.0,4994.6803589550145,321.04479086610513,4984.351726191555,1405.4623381173067,144.2398625176125,1398.041217535115,1.0,1.0,52.0,3927.600491942045,64.17374680236505,140.22114756360494,0.020474390999879688,150000.0
3,43,8,known,3,180.0,300.0,150.0,3816.080643845125,281.68364135788767,3805.6702177830366,2425.6407946803793,121.0292772410241,2422.6194870156924,1.0,1.0,30.0,2114.430348413519,119.27096764931794,132.54022178245336,0.013498483000148553,150000.0
3,44,8,known,3,180.0,300.0,150.0,3806.90590689917,196.5888010773564,3801.826590900059,2109.577879022727,100.1411292736406,2107.199701473457,1.0,1.0,33.0,3020.7902106237884,83.83201116321234,175.65644293556196,0.011945886999455979,150000.0
3,45,8,known,3,180.0,300.0,150.0,1153.9443333335857,127.25597625871913,1146.9060296899368,861.2403412315791,106.30136506038096,854.6548690266653,1.0,1.0,75.0,1494.0600031151093,168.88738507705236,164.60523629420436,0.052626599001087015,150000.0
3,46,8,known,3,180.0,300.0,150.0,2425.5736302888204,103.44601906524491,2423.366740114265,862.3589461122108,75.59428012143538,859.0392638015359,1.0,1.0,63.0,2446.2506792913637,103.1132917831777,126.64982740081348,0.03257950600163895,150000.0
3,47,8,known,3,180.0,300.0,150.0,507.536862195603,95.84264190620799,498.4053114482197,445.9006033226371,86.65759414955023,437.39891337279704,1.0,1.0,75.0,1226.710874919134,206.04354590692887,129.5463382184204,0.039185860001452966,150000.0
3,48,8,known,3,180.0,300.0,150.0,1520.3038945872336,112.74144410738371,1516.1178379920511,1092.2707358098166,81.02966571433181,1089.2610126047575,1.0,1.0,36.0,1033.403877236633,244.20886548135192,152.71302410669384,0.011979825998423621,150000.0
3,49,8,known,3,180.0,300.0,150.0,1309.3570715242056,91.56318610924275,1306.1516465173438,911.0980688958792,65.19027323494001,908.762851035051,1.0,1.0,75.0,1528.6739796193312,164.7489997757359,144.5301562609789,0.03335816300022998,150000.0
3,50,8,known,3,180.0,300.0,150.0,3007.430189513094,164.0404228656914,3002.9530606489357,1602.9308194717962,111.40195354831522,1599.054976152522,1.0,1.0,29.0,2774.1077301805667,91.5219605639959,156.07875896289522,0.015468022997083608,150000.0
3,51,8,known,3,180.0,300.0,150.0,4845.154801967832,301.8872314742526,4835.740807208835,2229.0156552512394,82.70344604756716,2227.4808487093596,1.0,1.0,44.0,2167.3711996075417,116.78636162007109,137.23381359842077,0.012410269999236334,150000.0
3,52,8,known,3,180.0,300.0,150.0,2233.987002076918,150.12805400853514,2228.9368525932327,1120.3807343227154,91.75112852921627,1116.6175353517972,1.0,1.0,71.0,2227.1809223776063,113.57914043857109,164.49068809429545,0.028859178997663548,150000.0
3,53,8,known,3,180.0,300.0,150.0,5803.5958351948,400.9854140524813,5789.72670477697,1651.3133929161702,131.35004956128196,1646.0811298671044,1.0,1.0,45.0,4363.269765330889,57.88508673748161,135.14710988607885,0.014387456998520065,150000.0
