condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,compute_time_s,r_max_mm,known_z_max_mm,height_pattern,unknown_z_std_mm
0,53,8,known,3,100.0,300.0,150.0,3167.3154623021032,168.10579847019457,3162.851194453935,1295.03279562897,89.94990413166748,1291.905165444155,1.0,1.0,38.0,1817.8347933795499,139.6680732366713,63.9005068559027,0.03644009999698028,150000.0,1500.0,,0.0
0,54,8,known,3,100.0,300.0,150.0,3204.8213779726448,63.94230301289013,3204.1834289871567,714.557063124212,30.756415429829687,713.8948377531574,1.0,1.0,161.0,1824.1816405862423,138.34454279234998,79.02863295452154,0.21604639996076003,150000.0,1500.0,,0.0
0,55,8,known,3,100.0,300.0,150.0,1518.3178105651514,65.71514880290407,1516.8950171640645,1133.839453109476,59.33327464829468,1132.285947959748,1.0,1.0,33.0,825.0329352861579,305.4006634788171,75.77515319219454,0.04998890002025291,150000.0,1500.0,,0.0
0,56,8,known,3,100.0,300.0,150.0,3205.9511615908646,149.34525728061544,3202.4707406366106,1384.5194770123028,55.13563201974187,1383.4212100109658,1.0,1.0,36.0,1862.4385093316812,135.89261228461012,51.66406043123874,0.04157040000427514,150000.0,1500.0,,0.0
0,57,8,known,3,100.0,300.0,150.0,3248.130236445706,132.15198176852908,3245.440784643511,1133.047625895861,71.4842996158799,1130.7903950143343,1.0,1.0,91.0,1864.6006921358573,135.44281480158557,76.1911489944044,0.07106649997876957,150000.0,1500.0,,0.0
0,58,8,known,3,100.0,300.0,150.0,2426.260765026933,173.57941789723967,2420.0436949756786,1371.2702793505753,89.5682687172132,1368.3419544358076,1.0,1.0,30.0,1362.6599489384203,185.05435140423336,69.16723048254664,0.021268599957693368,150000.0,1500.0,,0.0
0,59,8,known,3,100.0,300.0,150.0,900.3839523540599,51.60473137901926,898.9038955060865,812.9057869424112,43.13114228605292,811.760754785276,1.0,1.0,58.0,542.6400207655498,465.1200877601261,74.17106234341587,0.038789100013673306,150000.0,1500.0,,0.0
0,60,8,known,3,100.0,300.0,150.0,4197.407102938078,194.21495276953962,4192.911511100104,1400.7939841496216,60.19415861749924,1399.5000712033213,1.0,1.0,40.0,2462.688820524358,102.47696786672928,55.98204174026593,0.03953260002890602,150000.0,1500.0,,0.0
0,61,8,known,3,100.0,300.0,150.0,1918.6439411525614,98.49697672284391,1916.1140150048204,1307.7918582225304,77.96075561119095,1305.4660719519566,1.0,1.0,36.0,1125.302518235272,223.89670172398215,57.575217627378976,0.023212899977806956,150000.0,1500.0,,0.0
0,62,8,known,3,100.0,300.0,150.0,2428.689798000966,83.45829087747525,2427.2554147839046,709.4889746222643,52.26406234339249,707.5613562779682,1.0,1.0,58.0,1400.1750573212269,180.35229548021826,69.8772853649226,0.04896230000304058,150000.0,1500.0,,0.0
0,63,8,known,3,100.0,300.0,150.0,1501.8939257837885,93.625045045565,1498.9728867616172,1083.2766430783092,60.60478413509039,1081.5800227347718,1.0,1.0,50.0,853.7049309091259,295.0717986860583,78.91863482889816,0.08035709999967366,150000.0,1500.0,,0.0
0,64,8,known,3,100.0,300.0,150.0,2095.6740627523045,82.47133354008352,2094.050681439413,1141.6161851181291,44.73042379158462,1140.739542275578,1.0,1.0,42.0,1217.9831455836484,207.30191921772064,56.32040389075599,0.03251370001817122,150000.0,1500.0,,0.0
0,65,8,known,3,100.0,300.0,150.0,1636.3696786611597,118.19546914800824,1632.0954495109986,1177.8757399202075,64.39077284963413,1176.1144022009096,1.0,1.0,48.0,976.3784850915426,258.47713459287405,71.57322718670372,0.03613640001276508,150000.0,1500.0,,0.0
0,66,8,known,3,100.0,300.0,150.0,1285.842459016278,73.07763843422778,1283.7641871348123,1129.077513355612,58.399913582640224,1127.566175999809,1.0,1.0,39.0,777.7144981296126,324.68340056084463,76.463326762933,0.024605899991001934,150000.0,1500.0,,0.0
